Start_Date,Date,Projected_Date,Cumulative_Potential_Placements
2013-01-01,2013-09-01,2014-04-01,61457000.0
2013-02-01,2013-10-01,2014-05-01,61385000.0
2013-03-01,2013-11-01,2014-06-01,61444000.0
2013-04-01,2013-12-01,2014-07-01,61524000.0
2013-05-01,2014-01-01,2014-08-01,61772000.0
2013-06-01,2014-02-01,2014-09-01,61446000.0
2013-07-01,2014-03-01,2014-10-01,61225000.0
2013-08-01,2014-04-01,2014-11-01,61366000.0
2013-09-01,2014-05-01,2014-12-01,61835000.0
2013-10-01,2014-06-01,2015-01-01,62018000.0
2013-11-01,2014-07-01,2015-02-01,61999000.0
2013-12-01,2014-08-01,2015-03-01,62220000.0
2014-01-01,2014-09-01,2015-04-01,62804000.0
2014-02-01,2014-10-01,2015-05-01,63157000.0
2014-03-01,2014-11-01,2015-06-01,63509000.0
2014-04-01,2014-12-01,2015-07-01,63514000.0
2014-05-01,2015-01-01,2015-08-01,63748000.0
2014-06-01,2015-02-01,2015-09-01,64040000.0
2014-07-01,2015-03-01,2015-10-01,64106000.0
2014-08-01,2015-04-01,2015-11-01,64889000.0
2014-09-01,2015-05-01,2015-12-01,64994000.0
2014-10-01,2015-06-01,2016-01-01,65531000.0
2014-11-01,2015-07-01,2016-02-01,66136000.0
2014-12-01,2015-08-01,2016-03-01,66452000.0
2015-01-01,2015-09-01,2016-04-01,68230000.0
2015-02-01,2015-10-01,2016-05-01,68149000.0
2015-03-01,2015-11-01,2016-06-01,67487000.0
2015-04-01,2015-12-01,2016-07-01,67871000.0
2015-05-01,2016-01-01,2016-08-01,67602000.0
2015-06-01,2016-02-01,2016-09-01,68159000.0
2015-07-01,2016-03-01,2016-10-01,68512000.0
2015-08-01,2016-04-01,2016-11-01,68699000.0
2015-09-01,2016-05-01,2016-12-01,68875000.0
2015-10-01,2016-06-01,2017-01-01,68802000.0
2015-11-01,2016-07-01,2017-02-01,69669000.0
2015-12-01,2016-08-01,2017-03-01,70129000.0
2016-01-01,2016-09-01,2017-04-01,70194000.0
2016-02-01,2016-10-01,2017-05-01,70377000.0
2016-03-01,2016-11-01,2017-06-01,69989000.0
2016-04-01,2016-12-01,2017-07-01,69381000.0
2016-05-01,2017-01-01,2017-08-01,68929000.0
2016-06-01,2017-02-01,2017-09-01,68678000.0
2016-07-01,2017-03-01,2017-10-01,68440000.0
2016-08-01,2017-04-01,2017-11-01,67755000.0
2016-09-01,2017-05-01,2017-12-01,68224000.0
2016-10-01,2017-06-01,2018-01-01,68872000.0
2016-11-01,2017-07-01,2018-02-01,69047000.0
2016-12-01,2017-08-01,2018-03-01,69492000.0
2017-01-01,2017-09-01,2018-04-01,70197000.0
2017-02-01,2017-10-01,2018-05-01,70623000.0
2017-03-01,2017-11-01,2018-06-01,70734000.0
2017-04-01,2017-12-01,2018-07-01,70067000.0
2017-05-01,2018-01-01,2018-08-01,70155000.0
2017-06-01,2018-02-01,2018-09-01,69575000.0
2017-07-01,2018-03-01,2018-10-01,69406000.0
2017-08-01,2018-04-01,2018-11-01,70010000.0
2017-09-01,2018-05-01,2018-12-01,70137000.0
2017-10-01,2018-06-01,2019-01-01,70216000.0
2017-11-01,2018-07-01,2019-02-01,70100000.0
2017-12-01,2018-08-01,2019-03-01,70500000.0
2018-01-01,2018-09-01,2019-04-01,71182000.0
2018-02-01,2018-10-01,2019-05-01,71318000.0
2018-03-01,2018-11-01,2019-06-01,71640000.0
2018-04-01,2018-12-01,2019-07-01,72147000.0
2018-05-01,2019-01-01,2019-08-01,71937000.0
2018-06-01,2019-02-01,2019-09-01,71537000.0
2018-07-01,2019-03-01,2019-10-01,71440000.0
2018-08-01,2019-04-01,2019-11-01,71306000.0
2018-09-01,2019-05-01,2019-12-01,71730000.0
2018-10-01,2019-06-01,2020-01-01,72170000.0
2018-11-01,2019-07-01,2020-02-01,73411000.0
2018-12-01,2019-08-01,2020-03-01,73604000.0
2019-01-01,2019-09-01,2020-04-01,73624000.0
2019-02-01,2019-10-01,2020-05-01,73677000.0
2019-03-01,2019-11-01,2020-06-01,73936000.0
2019-04-01,2019-12-01,2020-07-01,74341000.0
2019-05-01,2020-01-01,2020-08-01,74484000.0
2019-06-01,2020-02-01,2020-09-01,73852000.0
2019-07-01,2020-03-01,2020-10-01,73682000.0
2019-08-01,2020-04-01,2020-11-01,73333000.0
2019-09-01,2020-05-01,2020-12-01,73427000.0
2019-10-01,2020-06-01,2021-01-01,72886000.0
2019-11-01,2020-07-01,2021-02-01,73590000.0
2019-12-01,2020-08-01,2021-03-01,73660000.0
2020-01-01,2020-09-01,2021-04-01,74741000.0
2020-02-01,2020-10-01,2021-05-01,75331000.0
2020-03-01,2020-11-01,2021-06-01,74992000.0
2020-04-01,2020-12-01,2021-07-01,74246000.0
2020-05-01,2021-01-01,2021-08-01,74180000.0
2020-06-01,2021-02-01,2021-09-01,74237000.0
2020-07-01,2021-03-01,2021-10-01,74395000.0
2020-08-01,2021-04-01,2021-11-01,74270000.0
2020-09-01,2021-05-01,2021-12-01,74767000.0
2020-10-01,2021-06-01,2022-01-01,74605000.0
2020-11-01,2021-07-01,2022-02-01,75156000.0
2020-12-01,2021-08-01,2022-03-01,76097000.0
2021-01-01,2021-09-01,2022-04-01,77914000.0
2021-02-01,2021-10-01,2022-05-01,78385000.0
2021-03-01,2021-11-01,2022-06-01,78126000.0
2021-04-01,2021-12-01,2022-07-01,78880000.0
2021-05-01,2022-01-01,2022-08-01,78650000.0
2021-06-01,2022-02-01,2022-09-01,78441000.0
2021-07-01,2022-03-01,2022-10-01,78191000.0
2021-08-01,2022-04-01,2022-11-01,77503000.0
2021-09-01,2022-05-01,2022-12-01,77234000.0
2021-10-01,2022-06-01,2023-01-01,76325000.0
2021-11-01,2022-07-01,2023-02-01,75295000.0
2021-12-01,2022-08-01,2023-03-01,74989000.0
2022-01-01,2022-09-01,2023-04-01,74146000.0
2022-02-01,2022-10-01,2023-05-01,73568000.0
2022-03-01,2022-11-01,2023-06-01,72731000.0
2022-04-01,2022-12-01,2023-07-01,72593000.0
2022-05-01,2023-01-01,2023-08-01,72668000.0
2022-06-01,2023-02-01,2023-09-01,71906000.0
2022-07-01,2023-03-01,2023-10-01,72188000.0
2022-08-01,2023-04-01,2023-11-01,72769000.0
2022-09-01,2023-05-01,2023-12-01,73732000.0
2022-10-01,2023-06-01,2024-01-01,75299000.0
2022-11-01,2023-07-01,2024-02-01,76516000.0
2022-12-01,2023-08-01,2024-03-01,77096000.0
2023-01-01,2023-09-01,2024-04-01,76848000.0
2023-02-01,2023-10-01,2024-05-01,76849000.0
2023-03-01,2023-11-01,2024-06-01,77350000.0
2023-04-01,2023-12-01,2024-07-01,78008000.0
2023-05-01,2024-01-01,2024-08-01,77327000.0
2023-06-01,2024-02-01,2024-09-01,76881000.0
2023-07-01,2024-03-01,2024-10-01,76590000.0
2023-08-01,2024-04-01,2024-11-01,76223000.0
2023-09-01,2024-05-01,2024-12-01,76213000.0
2023-10-01,2024-06-01,2025-01-01,77087000.0
2023-11-01,2024-07-01,2025-02-01,76843000.0
2023-12-01,2024-08-01,2025-03-01,77337000.0
2024-01-01,2024-09-01,2025-04-01,77528000.0
2024-02-01,2024-10-01,2025-05-01,78150000.0
2024-03-01,2024-11-01,2025-06-01,78216000.0
2024-04-01,2024-12-01,2025-07-01,77934000.0
2024-05-01,2025-01-01,2025-08-01,77556000.0
2024-06-01,2025-02-01,2025-09-01,77547000.0
